feature,PC1_loading
Left_Cerebral_White_Matter_Vgm,0.15491341593276917
Right_Cerebral_White_Matter_Vgm,0.15297959860064905
Right_MFG_middle_frontal_gyrus_Vgm,0.13655938038091142
Right_MSFG_superior_frontal_gyrus_medial_segment_Vgm,0.13339728285908112
Right_STG_superior_temporal_gyrus_Vgm,0.13154487773379842
Left_MSFG_superior_frontal_gyrus_medial_segment_Vgm,0.13092928612181554
Left_MFG_middle_frontal_gyrus_Vgm,0.13028240356620255
Left_PCgG_posterior_cingulate_gyrus_Vgm,0.12321612669949737
Right_PIns_posterior_insula_Vgm,0.12161439852240225
Right_PCu_precuneus_Vgm,0.12137371539780063
