Subject_Code,kmeans_label
CT002,1
CT003,0
CT004,1
CT005,1
CT007,0
CT008,0
CT010,0
CT012,1
CT013,0
CT015,0
CT016,0
CT017,0
CT018,0
CT020,0
CT021,1
CT023,1
CT024,1
CT025,0
CT026,0
CT027,1
CT028,1
CT029,0
CT030,1
CT032,1
CT033,1
CT034,0
CT035,0
CT039,1
CT041,1
CT042,0
CT043,1
CT046,0
CT051,1
CT056,1
CT057,1
CT062,1
CT065,1
NT002,0
NT003,0
NT005,0
NT006,0
NT007,0
NT010,1
NT013,0
NT015,1
NT016,0
NT017,0
NT019,0
NT020,1
NT025,0
NT026,0
NT027,1
NT028,1
NT029,0
NT030,1
NT031,1
NT032,0
NT033,1
NT035,1
NT036,1
NT038,0
NT039,1
NT040,1
NT041,0
NT042,1
NT043,0
NT044,1
NT047,1
NT048,0
NT049,0
NT051,0
NT052,0
NT053,0
NT055,0
NT056,0
NT057,0
NT059,1
NT060,0
NT063,0
NT065,0
NT066,1
NT067,1
NT068,1
NT069,1
NT070,1
NT074,0
NT075,1
NT077,0
NT078,1
NT080,0
NT081,0
NT082,1
NT087,0
NT088,1
NT090,1
NT093,1
NT096,0
NT100,1
NT106,1
NT112,1
NT113,1
NT114,1
NT118,1
NT119,1
NT121,1
NT124,1
NT125,1
NT126,1
NT131,1
NT132,1
NT134,1
NT135,1
NT137,0
NT138,1
NT142,1
